area_0|BA_1
area_1|BA_2
area_2|BA_3
area_3|BA_4
area_4|BA_5
area_5|BA_6
area_6|BA_7
area_7|BA_8
area_8|BA_9
area_9|BA_10
area_10|BA_11
area_11|BA_17
area_12|BA_18
area_13|BA_19
area_14|BA_20
area_15|BA_21
area_16|BA_22
area_17|BA_23
area_18|BA_24
area_19|BA_25
area_20|BA_26
area_21|BA_27
area_22|BA_28
area_23|BA_29
area_24|BA_30
area_25|BA_10
area_26|BA_32
area_27|BA_33
area_28|BA_34
area_29|BA_35
area_30|BA_36
area_31|BA_37
area_32|BA_38
area_33|BA_39
area_34|BA_40
area_35|BA_41
area_36|BA_42
area_37|BA_43
area_38|BA_44
area_39|BA_45
area_40|BA_46
area_41|BA_47
